event_slug,event_title,event_date,pages,total_excess_views_60d,spillover_share,primary_half_life_days,timesfm_multivariate_wape,timesfm_multivariate_median_page_wape,timesfm_univariate_wape,timesfm_univariate_median_page_wape,exponential_decay_wape,exponential_decay_median_page_wape,power_law_decay_wape,power_law_decay_median_page_wape,flat_baseline_wape,flat_baseline_median_page_wape,seasonal_naive_wape,seasonal_naive_median_page_wape,multivariate_interval_coverage,multivariate_relative_interval_width,univariate_interval_coverage,univariate_relative_interval_width,multivariate_minus_univariate_wape,best_decay_wape,decay_beats_both_timesfm,related_peaks_after_primary_14d,related_peaks_with_primary_14d,related_peaks_before_primary_14d,median_related_peak_offset_14d,spillover_floor_1,total_excess_floor_1,spillover_floor_5,total_excess_floor_5,spillover_floor_10,total_excess_floor_10,spillover_baseline_14d,total_excess_baseline_14d,spillover_baseline_28d,total_excess_baseline_28d,spillover_baseline_56d,total_excess_baseline_56d
straight-outta-compton,Straight Outta Compton opens,2015-08-14,5,13122556,0.790374,3.000000,0.247529,0.234791,0.251245,0.203546,0.485406,0.507538,0.233860,0.232734,0.604406,0.619696,1.513653,1.556231,1.000000,3.348337,0.993333,2.034687,-0.003716,0.233860,True,0,4,0,0.000000,0.790374,13122556,0.790374,13122556,0.790374,13122556,0.804184,8547945,0.790374,13122556,0.795952,15298482
ever-given,Ever Given blocks the Suez Canal,2021-03-23,5,6623879,0.861036,1.000000,0.779393,0.723975,12.434331,1.279774,0.590070,0.494918,0.786199,0.445545,0.895750,0.843750,14.787091,10.934840,0.973333,13.852995,0.926667,59.239943,-11.654938,0.590070,True,0,3,1,0.000000,0.861036,6623879,0.861061,6623411,0.861093,6622826,0.860856,6615321,0.861036,6623879,0.861489,6645533
jwst-first-images,James Webb's first images,2022-07-12,5,1915712,0.350835,1.000000,0.274956,0.125353,0.725800,0.245335,0.394286,0.361302,0.419413,0.322470,0.572007,0.678724,7.314850,8.529332,0.953333,2.701357,0.860000,3.428953,-0.450844,0.394286,False,0,0,4,-1.000000,0.350835,1915712,0.350753,1915472,0.350652,1915172,0.361126,1841339,0.350835,1915712,0.349914,1901830
chatgpt-launch,ChatGPT launches,2022-11-30,5,9289415,0.305817,,0.523931,0.512474,0.679082,0.447620,0.459142,0.531578,0.459142,0.531578,0.883191,0.872798,0.693075,0.541484,0.833333,2.412528,0.806667,4.955459,-0.155151,0.459142,True,0,0,4,-6.000000,0.305817,9289415,0.305824,9289195,0.305833,9288920,0.306005,9291942,0.305817,9289415,0.308681,9327902
world-cup-final-2022,2022 World Cup final,2022-12-18,5,11693471,0.973951,3.000000,0.208514,0.182540,0.175221,0.216515,2.316697,2.359037,2.301930,2.359126,2.327412,2.359036,9.160284,8.364804,1.000000,2.106499,0.980000,2.339579,0.033293,2.301930,False,0,0,4,-2.000000,0.973951,11693471,0.973951,11693471,0.973976,11693171,0.973104,11261987,0.973951,11693471,0.977999,13856296
barbenheimer,Barbenheimer,2023-07-21,7,41144646,0.977657,3.000000,0.245598,0.183645,0.268580,0.170862,0.410545,0.332853,0.474959,0.589658,0.664691,0.576845,2.699566,2.547667,0.933333,0.923776,0.876190,1.242693,-0.022982,0.410545,False,4,2,0,1.000000,0.977657,41144646,0.977657,41144646,0.977657,41144646,0.979902,25034958,0.977657,41144646,0.972694,47386396
chandrayaan-3,Chandrayaan-3 lands on the Moon,2023-08-23,5,3217021,0.183447,1.000000,0.164628,0.433178,0.167938,0.398033,0.256369,0.411195,0.223313,0.644625,0.322627,0.599100,7.027239,7.672923,0.573333,2.537004,0.686667,2.045974,-0.003310,0.223313,False,0,0,4,-1.000000,0.183447,3217021,0.183447,3217021,0.183447,3217021,0.180421,3171677,0.183447,3217021,0.186180,3227824
gta-vi-trailer,The first Grand Theft Auto VI trailer,2023-12-05,5,2403581,0.479095,1.000000,0.217270,0.089813,0.169734,0.096233,0.367381,0.154144,0.165819,0.197902,0.441364,0.195197,2.989236,2.569936,1.000000,1.219287,1.000000,1.235468,0.047536,0.165819,True,0,4,0,0.000000,0.479095,2403581,0.479095,2403581,0.479095,2403581,0.490044,2456426,0.479095,2403581,0.507262,2542991
total-solar-eclipse-2024,The 2024 total solar eclipse,2024-04-08,5,2325572,0.346125,1.000000,0.522920,1.037444,0.311387,0.536492,4.972057,3.117877,4.985738,3.168113,4.972555,3.109875,12.926174,19.333333,0.786667,1.669379,0.840000,1.373964,0.211534,4.972057,False,1,3,0,0.000000,0.346125,2325572,0.346125,2325572,0.346095,2325468,0.337724,2193930,0.346125,2325572,0.362386,2561929
inside-out-2,Inside Out 2 opens,2024-06-14,5,4863356,0.231934,4.000000,0.313211,0.075784,0.303815,0.095040,0.484551,0.156732,0.235417,0.162432,0.679497,0.233557,0.799334,0.725572,0.840000,0.438421,0.840000,0.494252,0.009396,0.235417,True,4,0,0,1.500000,0.231934,4863356,0.231934,4863356,0.231934,4863356,0.210293,3966354,0.231934,4863356,0.235697,5786080
